operation,n,median_us,p98_us,p999_us
ML-KEM-768 KeyGen,1000,2348.2709999999997,2970.4143599999993,10550.231749000026
ML-KEM-768 Encaps,1000,3223.625,6605.363159999999,16265.272958000516
ML-KEM-768 Decaps,1000,4552.978999999999,10715.799159999993,37918.777583001276
EP-HS full (CPU),500,20185.3335,29793.368319999976,111845.80208400147
HMAC key confirm,1000,3.583,3.750819999999999,8.33620900000029
ML-DSA-65 Sign,500,34476.5,126444.0674999999,176603.825125
ML-DSA-65 Verify,1000,8188.916499999999,8514.97966,8838.624708000007
AuthBind sign,300,36723.3335,112314.60715999988,173210.85675000036
AuthBind verify,1000,8220.875,8527.4925,9371.298416
DPR verify fast,1000,0.166,0.25,4.841583000000682
DPR verify slow,1000,8210.875,9802.277679999997,20729.907416000322
